Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 68, TIDL_ConcatLayer, 128, 26, 26, 128, 26, 26, 128,  COL, 0, 0, 676, 676, 2, 0, 2,,,,,,,,, L2, DMA, 728, 728, 128, 93184, 0, 0, ,,,,,,,, MSMC, CPU, 832, 728, 128, 106522, 26, 522e6, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 69, TIDL_ConvolutionLayer, 128, 26, 26, 128, 26, 26, 128, ROW_L, 0, 0, 676, 676, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 128, 90240, 0, 0, ,,,,,,,, MSMC, CPU, 832, 728, 128, 106522, 26, 42566, ,,,,,,,, MSMC, DMA, 192, 128, 128, 25344, 0, a080, ,,,,,,,, 
 70, TIDL_ConvolutionLayer, 128, 26, 26, 64, 26, 26, 128, ROW_L, 0, 0, 676, 676, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 128, 90240, 0, 0, ,,,,,,,, MSMC, CPU, 832, 728, 64, 53274, 26, a0e6, ,,,,,,,, MSMC, DMA, 192, 128, 64, 12672, 0, 5c580, ,,,,,,,, 
 71, TIDL_ResizeLayer, 64, 26, 26, 64, 52, 52, 64,  COL, 0, 0, 728, 728, 1, 0, 1,,,,,,,,, L2, DMA, 832, 832, 64, 53248, 0, 0, ,,,,,,,, MSMC, CPU, 2880, 2808, 64, 184500, 52, 4214c, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 72, TIDL_ConcatLayer, 128, 52, 52, 128, 52, 52, 128,  COL, 0, 0, 2704, 2704, 4, 0, 4,,,,,,,,, L2, DMA, 2912, 2912, 64, 186368, 0, 0, ,,,,,,,, MSMC, CPU, 2752, 2704, 128, 352256, 0, 42100, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 73, TIDL_ConvolutionLayer, 128, 52, 52, 32, 52, 52, 128, ROW_L, 0, 0, 864, 2704, 4, 1, 4,,,,,,,,, L2, DMA, 1728, 1728, 128, 223104, 0, 0, ,,,,,,,, MSMC, CPU, 2752, 2704, 32, 88064, 0, 19a00, ,,,,,,,, MSMC, DMA, 192, 128, 32, 6400, 0, 17100, ,,,,,,,, 
 75, TIDL_ConvolutionLayer, 32, 52, 52, 32, 52, 52, 32, ROW_L, 0, 0, 2704, 2704, 1, 1, 1,,,,,,,,, L2, DMA, 2752, 2752, 32, 88192, 0, 0, ,,,,,,,, MSMC, CPU, 2752, 2704, 32, 88064, 0, 19a00, ,,,,,,,, MSMC, DMA, 32, 32, 32, 1280, 0, 17100, ,,,,,,,, 
 76, TIDL_ConvolutionLayer, 32, 52, 52, 32, 52, 52, 32, ROW_L, 106, 128, 2576, 2704, 1, 1, 1,,,,,,,,, L2, DMA, 2752, 2752, 32, 90752, 0, 0, ,,,,,,,, MSMC, CPU, 2752, 2704, 32, 88064, 0, 19a00, ,,,,,,,, MSMC, DMA, 320, 288, 32, 10496, 0, 17100, ,,,,,,,, 
 74, TIDL_ConvolutionLayer, 128, 52, 52, 32, 52, 52, 128, ROW_L, 0, 0, 864, 2704, 4, 1, 4,,,,,,,,, L2, DMA, 1728, 1728, 128, 223104, 0, 0, ,,,,,,,, MSMC, CPU, 2752, 2704, 32, 88064, 0, 2f400, ,,,,,,,, MSMC, DMA, 192, 128, 32, 6400, 0, 17100, ,,,,,,,, 
 77, TIDL_ConcatLayer, 64, 52, 52, 64, 52, 52, 64,  COL, 0, 0, 2704, 2704, 2, 0, 2,,,,,,,,, L2, DMA, 2756, 2756, 64, 176384, 0, 0, ,,,,,,,, MSMC, CPU, 2752, 2704, 64, 176128, 0, 44c00, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
