 lyrNum , LyrType,      Fr,      Fc,     Grp,   strdX,   strdY,multiCoreMode,    Pool,  pooKer, pooStrd,enableBias,      Ni,      No,     InW,     InH,    outW,    outH,procTime(us),LayerCycles,kernelOnlyCycles,coreLoopCycles,LayerSetupCycles,dmaPipeupCycles,   IOcyles,inVol(KB),outVol(KB),wtVol(KB), srcMem-IN, dstMem-IN,srcMem-OUT,dstMem-OUT, srcMem-WT, dstMem-WT,MSMCBW-R(M),MSMCBW-W(M),DDRBW-R(M),DDRBW-W(M),dataFlow,utilization,
     105,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      13,      13,      13,      13,   28.09,28094.50,11874.50,11924.50, 7100.00, 9070.00,    0.00, 21.12, 21.12, 16.75,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.02,    0.08,    0.00,    0.00,       1,   23.20,
     109,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      13,      13,      13,      13,  135.27,135273.17,101986.50,102036.50, 7100.00,26136.67,    0.00, 21.12, 21.12,144.75,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.02,    0.21,    0.00,    0.00,       1,   44.89,
     102,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,     128,      13,      13,      13,      13,   42.35,42345.17,23138.50,23188.50, 7100.00,12056.67,    0.00, 42.25, 21.12, 32.75,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.05,    0.10,    0.00,    0.00,       1,   31.84,
     111,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,     256,     256,      13,      13,      13,      13,   14.11,14105.53, 1952.20, 2002.20,11000.00, 1103.33, 1188.67, 42.25, 42.25,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.05,    0.04,    0.00,    0.00,       2,    0.24,
     112,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,     256,      13,      13,      13,      13,   74.63,74631.57,45824.90,45874.90, 7100.00,21656.67,    0.00, 42.25, 42.25, 65.50,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.05,    0.19,    0.00,    0.00,       1,   38.89,
     113,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,      64,      13,      13,      13,      13,   26.20,26201.97,11795.30,11845.30, 7100.00, 7256.67,    0.00, 42.25, 10.62, 16.38,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.05,    0.05,    0.00,    0.00,       1,   22.20,
     115,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,      64,      64,      13,      13,      13,      13,   41.67,41668.63,25875.30,25925.30, 7100.00, 8643.33,    0.00, 10.62, 10.62, 36.38,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.01,    0.07,    0.00,    0.00,       1,   33.39,
     117,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,      64,      64,      13,      13,      13,      13,   41.67,41668.63,25875.30,25925.30, 7100.00, 8643.33,    0.00, 10.62, 10.62, 36.38,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.01,    0.07,    0.00,    0.00,       1,   33.39,
     120,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      64,       1,      13,      13,      13,      13,   11.47,11472.57, 3045.90, 3095.90, 7100.00, 1276.67,    0.00, 10.62,  0.38,  0.25,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.01,    0.00,    0.00,    0.00,       1,    0.15,
     114,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,      64,      64,      13,      13,      13,      13,   41.67,41668.63,25875.30,25925.30, 7100.00, 8643.33,    0.00, 10.62, 10.62, 36.38,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.01,    0.07,    0.00,    0.00,       1,   33.39,
     116,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,      64,      64,      13,      13,      13,      13,   41.67,41668.63,25875.30,25925.30, 7100.00, 8643.33,    0.00, 10.62, 10.62, 36.38,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.01,    0.07,    0.00,    0.00,       1,   33.39,
     118,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      64,       1,      13,      13,      13,      13,   11.47,11472.57, 3045.90, 3095.90, 7100.00, 1276.67,    0.00, 10.62,  0.38,  0.25,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.01,    0.00,    0.00,    0.00,       1,    0.15,
     119,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      64,       4,      13,      13,      13,      13,   11.77,11772.57, 3045.90, 3095.90, 7100.00, 1576.67,    0.00, 10.62,  1.38,  0.62,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.01,    0.00,    0.00,    0.00,       1,    0.61,
     121,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,       6,       6,      13,      13,      13,      13,   18.27,18274.33, 1461.00, 1511.00,16500.00,  263.33, 1323.33,  2.00,  2.00,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.00,    0.00,    0.00,    0.00,       2,    0.01,
     122,TIDL_DetectionOutputLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,       6,       1,      52,      52,    1405,       1, 2006.00,2006000.00,    0.00,2000000.00,    0.00,    0.00,2000000.00, 31.75,  5.50,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.03,    0.01,    0.00,    0.00,       2,    0.00,
